index,duration,content,startOfParagraph,startTime,ID
311,2598,qui utilise ses nunchakus  de bâtonnets de poisson,False,74082,2062
312,2902,"pour combattre des remplaçants cyborgs malfaisants,",False,76680,2062
313,3307,"un monstre du bus de l'école et des mathlètes mutants,",False,79582,2062
314,1467,"et à la fin de chaque livre,",False,82889,2062
315,1506,"elles attrapent le méchant avec leur filet à cheveux,",False,84356,2062
316,3754,et proclament .  La justice est servie . ,False,85862,2062
318,2607,"Et ça a été incroyable, parce que la série",True,93869,2062
319,2893,"a été si bien accueillie dans  les habitudes de lecture des enfants,",False,96476,2062
320,2239,"et ils m'ont envoyé  les lettres, les cartes",False,99369,2062
321,2157,et les dessins les plus incroyables.,False,101608,2062
322,2474,"Je remarquais,  quand je visitais les écoles",False,103765,2062
323,2554,que le personnel de cantine  était impliqué dans l'organisation,False,106239,2062
324,2146,de façon très significative.,False,108793,2062
325,1746,"D'un bout à l'autre du pays,",False,110939,2062
326,2095,toutes les serveuses de cantine  m'ont dit la même chose .,False,112685,2062
327,3895, Merci d'avoir fait  une héroïne de notre image. ,True,114780,2062
328,2769,Parce que la serveuse de cantine  n'a pas été traitée,False,118675,2062
329,3522,très aimablement dans notre culture populaire au cours du temps.,False,121444,2062
330,2172,Ça a touché Jeannie le plus.,False,124966,2062
331,1690,"Quand les premiers livres ont été publiés,",False,127138,2062
332,2104,"je l'ai invitée à la soirée du lancement du livre,",False,128828,2062
333,1811,"et devant tous les gens présents,",False,130932,2062
334,1297,"tous ceux qu'elle avait servis au cours des années,",False,132743,2062
335,2940,je lui ai donné une illustration et quelques livres.,False,134040,2062
336,2569,"Deux ans après que cette photo a été prise,",False,136980,2062
337,1811,"elle est décédée,",False,139549,2062
338,1087,je suis allé à la veillée,False,141360,2062
339,2839,"et rien n'aurait pu me préparer à ce que j'ai vu là-bas,",False,142447,2062
340,3488,"parce qu'à côté de son cercueil,  il y avait cette peinture,",False,145286,2062
341,3566,"et son marri m'a dit que ça signifiait  énormément pour elle,",False,148774,2062
342,2418,"que j'avais reconnu son dur travail,",False,152340,2062
343,2866,j'avais validé ce qu'elle faisait.,False,154758,2062
344,1892,Et ça m'a inspiré pour créer une journée,True,157624,2062
345,2250,pendant laquelle nous pourrions recréer ce sentiment,False,159516,2062
346,3015,dans toutes les cantines du pays .,False,161766,2062
347,1653,"Le jour des héros de la cantine de l'école, un jour au cours duquel",False,164781,2062
348,2858,les enfants peuvent faire des projets  créatifs pour leur personnel de cantine.,False,166434,2062
349,2204,"Et je me suis associé avec  l'Association de Nutrition des Écoles,",False,169292,2062
350,3128,et saviez-vous qu'un peu  plus de 30 millions d'enfants,False,171496,2062
351,1822,bénéficient des programmes  de cantine chaque jour .,False,174624,2062
352,3219,Cela correspond à un peu plus  de cinq milliards de repas,False,176446,2062
353,1621,servis chaque année scolaire.,False,179684,2062
354,2386,Et les histoires d'héroïsme vont bien plus loin,True,181305,2062
355,1987,qu'un enfant ayant seulement  quelques nuggets supplémentaires,False,183691,2062
356,1165,sur son plateau.,False,185678,2062
357,1709,"Il y a Mme Brenda en Californie,",False,186843,2062
358,2789,qui surveille tous les enfants  qui passent dans sa file,False,188552,2062
359,2485,puis qui signale au conseiller d'éducation,False,191341,2062
360,1350,si quelque chose ne va pas.,False,193826,2062
361,1424,Il y a les serveuses de cantine  dans le Kentucky,False,195176,2062
362,2635,qui se sont aperçu que 67 percent de leurs élèves,False,196600,2062
363,1973,"dépendaient de ces repas chaque jour,",False,199235,2062
364,2116,"et qu'ils manquaient  de nourriture pendant l'été,",False,201208,2062
365,2024,donc elles ont aménagé un bus scolaire,False,203324,2062
366,1752,"pour créer une unité de repas mobile,",False,205348,2062
367,1235,et elles ont sillonné les quartiers,False,207100,2062
368,2799,en nourrissant 500 enfants  par jour durant l'été.,False,208335,2062
369,2595,Et les enfant ont réalisé les projets les plus géniaux.,True,211134,2062
370,1050,Je savais qu'ils le feraient.,False,213729,2062
371,1612,Les enfants ont fait des cartes en forme de hamburger,False,214779,2062
372,1994,fabriqué avec du papier de construction.,False,216391,2062
373,1901,Ils ont pris des photos des têtes de leur serveuses de cantine,False,218385,2062
374,1808,"et les ont collées sur ma bande dessinée de serveuse de cantine,",False,220286,2062
375,1793,ont fixé ça sur une brique de lait,False,222094,2062
376,2486,et les ont présentées avec des fleurs.,False,223887,2062
377,2003,"Ils ont fait leur propre bande dessinée,",False,226373,2062
378,1361,avec la serveuse de la bande dessinée,False,228376,2062
379,2223,aux côtés de leurs propres serveuses de cantine.,False,229737,2062
380,1936,"Ils ont fait des pizzas de remerciements,",False,231960,2062
381,1915,où chaque enfant signait un ingrédient différent,False,233896,2062
382,2959,d'une pizza en papier.,False,235811,2062
383,3600,"Pour moi, j'étais tellement  ému par la réponse",True,238770,2062
384,1979,"qui est venue des serveuses de cantine,",False,242370,2062
385,1879,parce qu'une femme m'a dit .,False,244349,2062
386,2535," Avant ce jour, j'avais l'impression",False,246228,2062
387,2437,"d'être de l'autre côté  de la planète dans cette école,",False,248763,2062
388,2375,je ne savais pas que quelqu'un nous remarquait ici-bas. ,False,251200,2062
389,1867,Une autre femme m'a dit .,False,253575,2062
390,2548," Vous savez, ce que j'ai  retenu de tout cela,",False,255442,2062
391,2954,c'est que ce que je fais est important. ,False,257990,2062
392,2340,Et évidemment que ce  qu'elle fait est important.,True,260944,2062
393,1846,Ce qu'elles font toutes est important.,False,263542,2062
394,3389,"Elles nourrissent nos enfants, jour après jour,",False,265388,2062
395,2459,"avant qu'un enfant puisse apprendre,",False,268777,2062
396,2530,"son ventre doit être plein,",False,271236,2062
397,1778,et ces hommes et femmes,False,273766,2062
398,1923,travaillent en première ligne pour créer,False,275544,2062
399,2203,une société éduquée.,False,277467,2062
400,2770,Donc j'espère que,True,279670,2062
401,1901,vous n'attendez pas Le Jour des Héros de la Cantine de l’École,False,282440,2062
402,2035,"pour dire merci à votre personnel de cafétéria,",False,284341,2062
403,2048,et j'espère que vous vous souviendrez,False,286376,2062
404,2846,à quel point un merci peut être puissant.,False,288424,2062
405,1995,Un merci peut changer une vie.,False,291270,2062
406,3202,"Il change la vie de la personne qui le reçoit,",False,293265,2062
407,2284,et il change la vie de la personne,False,296467,2062
408,1626,qui l'exprime.,False,298751,2062
409,2356,Merci.,True,300377,2062
411,1412,Quel est votre salaire .,True,1178,2585
412,1888,"Ne le dites pas à haute voix,",False,3155,2585
413,1781,mais gardez le chiffre en tête.,False,5666,2585
414,4643,Songez maintenant au salaire de celui ou celle assis à côté de vous.,False,8017,2585
415,2159,Ne le dites pas non plus à haute voix.,False,13176,2585
417,2358,"Au boulot, combien pensez-vous",True,17144,2585
418,3938,que la personne du bureau  d'à côté est payé .,False,19526,2585
419,1155,Le savez-vous .,False,23488,2585
420,1365,Devriez-vous le savoir .,False,24977,2585
421,3977,Remarquez que ça me met mal à  l'aise rien que de poser ces questions.,True,26961,2585
422,3150,"Admettez-le, vous aimeriez bien le savoir.",False,30962,2585
423,3525,On est presque tous mal à l'aise avec l'idée de divulguer nos salaires.,False,34993,2585
424,2149,"On n'est pas supposé le dire aux voisins,",False,38542,2585
425,3192,encore bien moins aux collègues.,False,40715,2585
426,3514,"Le présupposé est que si chacun savait combien touche son voisin,",False,43931,2585
427,1790,tout partirait en vrille.,False,47469,2585
428,2101,"Il y aurait des discussions et bagarres,",False,49283,2585
429,2189,même des gens qui démissionnent.,False,51408,2585
430,3779,Mais si la confidentialité était  exactement la source des malentendus .,False,53621,2585
431,2618,Et si nous arrêtions  d’être si cachottiers .,False,57424,2585
432,3991,Si l'ouverture pouvait en fait améliorer l'équité et la collaboration,False,60599,2585
433,1222,au sein de l'entreprise .,False,64614,2585
434,3586,Si nous avions une transparence salariale complète .,False,65860,2585
435,1317,"Ces dernières années,",True,70254,2585
436,2913,j'ai étudié les chefs d'entreprise  et les entrepreneurs,False,71595,2585
437,3549,qui ont remis en question les idées  reçues sur la gestion d'entreprise.,False,74532,2585
438,2452,La question des salaires revient sans cesse.,False,78105,2585
439,2450,Et les réponses nous surprennent.,False,81105,2585
440,1807,"En réalité, la transparence salariale,",True,84458,2585
441,2110,"partager son salaire ouvertement,",False,86289,2585
442,2649,crée un milieu de travail  plus sain aussi bien pour,False,88423,2585
443,1587,les employés que l'entreprise.,False,91096,2585
444,3099,"Quand ils ne savent pas de  combien diffèrent leurs salaires,",False,93362,2585
445,1816,les employés se sentent sous-payés,False,96485,2585
446,1935,ou même comme victimes de discrimination.,False,98325,2585
447,2575,Voulez-vous évoluer dans  un milieu qui tolère,False,100646,2585
448,2804,que certains se sentent sous-payés  ou discriminés .,False,103245,2585
449,2510,Garder les salaires secrets  crée cette atmosphère.,False,106697,2585
450,2883,C'est un pratique aussi vieille que courante.,False,109231,2585
451,2092,"Malgré le fait qu'aux États-Unis,",False,112674,2585
452,3450,la loi protège le droit de  l'employé de parler de son salaire.,False,114790,2585
453,2558,"Pour utiliser un exemple  qui date de décennies,",True,119417,2585
454,2106,la direction du magazine Vanity Fair,False,121999,2585
455,2120,avait fait circuler une note intitulée .,False,124129,2585
456,3205, Interdiction de discuter de salaire entre employés .,False,126273,2585
457,3322, Interdisant  aux employés  de discuter de leurs salaires.,False,129502,2585
458,2147,Ça n'a pas plu à beaucoup de gens.,False,133482,2585
459,2046,"Des figures littéraires, Dorothy Parker,",False,135653,2585
460,1762,"Robert Benchley et Robert Sherwood,",False,137723,2585
461,2441,"les membres de la   Table ronde d'Algonquin ,",False,139509,2585
462,1781,militèrent pour la transparence,False,141974,2585
463,1732,en venant au bureau le lendemain,False,143779,2585
464,3214,avec leurs salaires affichés sur  des pancartes pendues au cou.,False,145535,2585
466,1575,Imaginez si vous vous montriez,True,150716,2585
467,3490,"avec votre salaire affiché sur la  poitrine, au vu de tout le monde.",False,152315,2585
468,3270,Pourquoi une entreprise découragerait qu'on parle de nos salaires .,True,157573,2585
469,3332,Pourquoi sont certains d'accord avec cette pratique et d'autres non .,False,160867,2585
470,3044,"Il s'avère qu'en plus des raisons présupposées,",False,165906,2585
471,3303,ce manque de transparence aide  à économiser beaucoup d'argent.,False,168974,2585
472,1911,Ce manque de transparence conduit à,False,172301,2585
473,2951,ce que les économistes appellent  l'asymétrie de l'information.,False,174236,2585
474,2271,C'est une situation de négociation,False,177211,2585
475,2998,où l'une des parties détient plus d'information que l'autre.,False,179506,2585
476,3410,"Quand il discute de recrutement, de promotion, d'augmentation annuelle,",False,182887,2585
477,3658,l'employeur exploite cette asymétrie pour épargner beaucoup d'argent.,False,186321,2585
478,2624,Il serait plus facile de négocier  pour une augmentation,False,190518,2585
479,1807,en sachant combien gagnent les autres.,False,193166,2585
480,2441,Les économistes avertissent  que cette asymétrie,True,197612,2585
481,1647,peut déséquilibrer les marchés.,False,200077,2585
482,1906,"Un talon de paie laissé sur la copieuse,",False,201748,2585
483,2418,"et tout à coup, tout le monde s'engueule.",False,203678,2585
484,1706,"En effet, ils ont même averti",False,206866,2585
485,4817,que cette asymétrie peut conduire à la défaillance totale du marché.,False,208596,2585
486,2014,Je crois que nous y sommes presque.,False,214095,2585
487,1166,Voici pourquoi .,False,216133,2585
488,4928,la plupart des employés ne connaissent pas la différence entre leurs salaires.,False,217323,2585
489,3850,"En 2015, dans un sondage  de 70 000 salariés,",False,222834,2585
490,3381,deux tiers des personnes  payées au taux du marché,False,226708,2585
491,2232,ont dit qu'elles se sentaient sous-payées.,False,230113,2585
492,2879,"Parmi celles qui se sentaient ainsi,",False,233036,2585
493,2953,"60  percent ont dit qu'elles avaient  l'intention de démissionner,",False,235939,2585
494,2888,"peu importe si elles étaient  sous-payées, sur-payées",False,238916,2585
495,1579,ou payées comme il le faut.,False,241828,2585
496,2460,"Participant à ce sondage, qu'aurez-vous dit .",False,244200,2585
497,1276,Que vous êtes sous-payé .,False,246684,2585
498,2325,"Mais attendez, comment le savez vous",False,247984,2585
499,2133,quand vous n'avez pas  le droit d'en parler .,False,250333,2585
500,3599,"En deuxième lieu, l'asymétrie de  l'information et le manque de transparence",True,252911,2585
501,2779,font qu'il est plus facile  d'ignorer la discrimination,False,256534,2585
502,2467,qui existe déjà sur le marché.,False,259337,2585
503,3697,Un rapport de l'institut  Women's  Policy Research  en 2011 indiquait que,False,262217,2585
504,2124,l'écart salarial entre hommes et femmes,False,265938,2585
505,1738,était de 23 pour cent.,False,268086,2585
506,2619,C'est de là que viennent ces 77 cents.,False,270451,2585
507,1463,"Mais au gouvernement fédéral,",False,273641,2585
508,2063,les salaires sont fixés à certains niveaux,False,275128,2585
509,2040,"dont tout le monde a connaissance,",False,277215,2585
510,2085,et cet écart-là baisse à 11 pour cent.,False,279279,2585
511,2576,Et ceci se passe avant de  contrôler aucun des facteurs,False,281388,2585
512,2893,que les économistes discutent s'il faut contrôler ou pas.,False,283988,2585
513,2672,"Si nous voulons combler l'écart salarial,",True,287264,2585
514,2488,commençons par publier  le registre de paie.,False,289960,2585
515,3222,"Si c'est à quoi ressemble  la défaillance du marché,",False,292864,2585
516,3268,alors la transparence est le seul moyen d'assurer l'équité.,False,296110,2585
517,2501,Je sais que divulguer votre salaire,True,300274,2585
518,1646,"vous met mal à l'aise,",False,302799,2585
519,1515,mais n'est-ce pas moins,False,304469,2585
520,2880,que d'avoir en tête que vous  êtes victime de discrimination,False,306008,2585
521,3762,"ou que votre femme, fille,  sœur est mal payée .",False,308912,2585
522,3940,La transparence garantit l'équité.,False,313353,2585
523,1913,La transparence salariale fait ceci.,False,317317,2585
524,2680,C'est pourquoi des chefs  d'entreprise et entrepreneurs,True,319991,2585
525,2793,font des expériences autour de la transparence salariale.,False,322695,2585
526,1413,"Par exemple, Dane Atkinson.",False,325512,2585
527,3879,Il est un entrepreneur en série dont les entreprises avaient une condition,False,326949,2585
528,1582,de confidentialité salariale.,False,330852,2585
529,3353,Ça servait même à fournir  des salaires très différents à,False,332458,2585
530,1696,des personnes aussi qualifiées,False,335835,2585
531,2169,en fonction de leur  capacité à négocier.,False,337555,2585
532,3331,Dane a vu les conflits que ça a engendrés.,False,340091,2585
533,2227,"Alors, pour son dernier startup, SumAll,",False,343888,2585
534,3110,il s'est engagé à la transparence  dès le début.,False,346139,2585
535,1818,Et les résultats étaient surprenants.,False,349821,2585
536,1622,Toutes les études démontrent que,False,352424,2585
537,1876,quand les gens savent leurs salaires,False,354070,2585
538,2029,"et ceux de leurs collègues, ils sont",False,355970,2585
539,2933,"enclins à travailler pour  améliorer leur performance,",False,358023,2585
540,2849,à être dévoués et à ne pas  vouloir démissionner.,False,360980,2585
541,1402,Dane n'est pas le seul.,True,363853,2585
542,2171,Des startups de technologie comme Buffer,False,365279,2585
543,3346,"au dizaines de milliers  d'employés à Whole Foods,",False,367915,2585
544,3167,"où non seulement votre salaire est publié au vu et au su de tous,",False,371285,2585
545,3000,mais les données de performance de votre magasin et département,False,374476,2585
546,1919,sont sur l'intranet de l'entreprise,False,377500,2585
547,1222,au vu et au su de tous.,False,379443,2585
548,2462,"La transparence prend  diverses formes, ce n'est",True,381985,2585
549,1598,pas une politique uniforme.,False,384471,2585
550,2496,Certains publient leurs  salaires au public général.,False,386093,2585
551,2301,D'autres les publient  seulement aux employés.,False,388613,2585
552,2585,D'autres publient la formule pour calculer le salaire,False,390938,2585
553,1774,et d'autres la grille salariale,False,393547,2585
554,1778,à laquelle tout le monde est soumis.,False,395345,2585
555,2049,Vous n'avez pas à faire des pancartes,False,397147,2585
556,2524,pour que tous vos collègues de bureau portent au cou.,False,399220,2585
557,2914,Vous n'avez pas à être  le seul à porter une pancarte,False,401768,2585
558,1222,faite à la maison.,False,404706,2585
559,3204,On peut tous prendre des mesures pour la transparence salariale.,False,406494,2585
560,2028,Pour ceux d'entre vous détenant le pouvoir,False,410233,2585
561,1794,"pour progresser vers la transparence,",False,412285,2585
562,1475,l'heure est venue de le faire.,False,414103,2585
563,2468,"Et pour ceux d'entre vous  qui n'ont pas ce pouvoir,",False,415943,2585
564,1979,il est temps de lutter pour vos droits.,False,418435,2585
565,1725,"Alors, combien êtes-vous payé .",True,421263,2585
566,2627,Comment ce salaire se compare à ceux de vos collègues .,False,424186,2585
567,1306,Vous devriez le savoir.,False,427190,2585
568,1275,Il en va de même pour eux.,False,429312,2585
569,1168,Merci.,True,431936,2585
571,2346,"Un jour en 1819,",True,419,1637
572,2759,"à 3 000 milles au large des côtes du Chili,",False,2765,1637
573,2930,"dans une des régions les plus reculées de l'océan Pacifique,",False,5524,1637
574,4040,20 marins américains regardaient leur navire  se remplir d'eau de mer.,False,8454,1637
575,2180,"Ils avaient été frappés par un cachalot,  qui avait fait",False,12494,1637
576,2901,un trou catastrophique dans la coque du bateau.,False,14674,1637
577,2329,"Alors que leur navire commençait  à s'enfoncer sous la houle,",False,17575,1637
578,4313,les hommes se sont entassés dans trois petites baleinières.,False,19904,1637
579,2263,"Ces hommes étaient à 15 000 km de chez eux,",False,24217,1637
580,3223,à plus de 1 500 km de la terre la plus proche.,False,26480,1637
581,2204,"Dans leurs petites embarcations,  ils transportaient uniquement",False,29703,1637
582,1566,un équipement de navigation rudimentaire,False,31907,1637
583,3648,et des quantités limitées de nourriture et d'eau.,False,33473,1637
584,2204,"C'étaient les hommes du baleinier Essex,",False,37121,1637
585,2655,dont l'histoire allait inspirer plus tard  des passages de  Moby Dick .,False,39325,1637
586,2949,"Même dans le monde d'aujourd'hui,  leur situation serait vraiment terrible,",True,41980,1637
587,1926,mais pensez à quel point  elle était pire à l'époque.,False,44929,1637
588,3225,Personne à terre n'avait la moindre idée  que quelque chose avait mal tourné.,False,46855,1637
589,2912,Aucune équipe de secours ne venait  à la recherche de ces hommes.,False,50080,1637
590,2862,La plupart d'entre nous  n'avons jamais connu une situation,False,52992,1637
591,3503,"aussi effrayante que celle  dans laquelle ces marins se sont retrouvés,",False,55854,1637
592,1867,mais nous savons tous ce que c'est qu'avoir peur.,False,59357,1637
593,2294,"Nous connaissons tous le sentiment de peur,",False,61224,1637
594,2104,mais je ne sais pas sûre que  nous passions suffisamment de temps à réfléchir,False,63518,1637
595,1645,à ce que nos peurs veulent dire.,False,65622,1637
596,2837,"En grandissant, on nous encourage souvent  à voir la peur",True,67267,1637
597,2913,"comme une faiblesse, une chose enfantine de plus dont nous devons nous défaire",False,70104,1637
598,2818,comme les dents de lait ou les patins à roulettes.,False,73017,1637
599,2495,Et je pense que ce n'est pas un hasard  si nous pensons de cette façon.,False,75835,1637
600,2607,Les neuroscientifiques ont montré en fait  que des êtres humains,False,78330,1637
601,2739,sont programmés pour être optimistes.,False,80937,1637
602,2783,Alors c'est peut-être pourquoi  nous voyons parfois la peur,False,83676,1637
603,1978,comme un danger en soi.,False,86459,1637
604,2997,"Nous aimons nous dire les uns aux autres,  Ne t'inquiète pas ,  Pas de panique. ",False,88437,1637
605,2649,"En anglais, la peur est une chose qu'on conquiert.",False,91434,1637
606,3833,C'est une chose qu'on combat.  C'est une chose qu'on vainc.,False,94083,1637
607,2205,Et si on regardait la peur sous un angle nouveau .,False,97916,1637
608,4143,"Et si on pensait à la peur  comme à un acte étonnant de l'imagination,",False,100121,1637
609,2378,une chose qui peut être aussi profonde et révélatrice,False,104264,1637
610,2654,que la narration elle-même .,False,106642,1637
611,2593,Il est plus facile de voir ce lien  entre la peur et l'imagination,True,109296,1637
612,3279,"chez les jeunes enfants, dont les peurs sont souvent extraordinairement vivantes.",False,111889,1637
613,2281,"Lorsque j'étais enfant, j'ai vécu en Californie,",False,115168,1637
614,2689,"qui est, vous le savez,  surtout un endroit très agréable à vivre,",False,117449,1637
615,4008,"mais pour moi quand j'étais enfant, la Californie  pouvait également être un peu effrayante.",False,120138,1637
616,3041,Je me souviens comme c'était effrayant  de voir le lustre,False,124146,1637
617,2433,au-dessus de notre table à manger se balancer,False,127187,1637
618,2175,"à chaque tremblement de terre mineur,",False,129620,1637
619,2303,"et parfois je ne pouvais pas dormir la nuit,  terrifiée à l'idée",False,131795,1637
620,2521,que le Big One puisse frapper  pendant notre sommeil.,False,134098,1637
621,2872,"Nous disons des enfants qui ont des peurs comme ça,",False,136619,1637
622,3228,qu'ils ont une imagination débordante.,False,139491,1637
623,2390,"Mais à un certain moment,  la plupart d'entre nous apprenons",False,142719,1637
624,2886,à abandonner ce genre de visions et à grandir.,False,145109,1637
625,2757,"Nous apprenons qu'il n'y a pas monstres  cachés sous le lit,",False,147995,1637
626,2980,et que tous les séismes  ne détruisent pas les bâtiments.,False,150752,1637
627,3408,Mais ce n'est peut-être pas par hasard  que certains de nos esprits les plus créatifs,False,153732,1637
628,3111,ne parviennent pas à abandonner ce genre de peurs quand ils sont adultes.,False,157140,1637
629,3861,"La même imagination incroyable qui a produit   L'origine des espèces ,",False,160251,1637
630,2857, Jane Eyre  et  Le souvenir des choses passées ,False,164112,1637
631,3339,a également généré des inquiétudes intenses  qui hantent la vie adulte,False,166969,1637
632,4456,"de Charles Darwin, Charlotte Brontë et Marcel Proust.",False,170308,1637
633,2929,"La question est donc, que pouvons-nous  apprendre sur la peur",False,174764,1637
634,3304,des visionnaires et des jeunes enfants .,False,177693,1637
635,2860,"Revenons un instant à l'année 1819,",True,180997,1637
636,3687,à la situation à laquelle l'équipage  du baleinier Essex était confronté.,False,183857,1637
637,2119,Examinons les peurs que leur imagination,False,187544,1637
638,3756,produisait pendant ils dérivaient  au milieu du Pacifique.,False,189663,1637
639,3549,Vingt-quatre heures s'étaient écoulés  depuis que le navire avait chaviré.,False,193419,1637
640,2703,"Le moment était venu pour les hommes  de planifier,",False,196968,1637
641,2726,mais ils avaient très peu d'options.,False,199671,1637
642,2431,"Dans son récit fascinant de la catastrophe,",False,202397,1637
643,2740,Nathaniel Philbrick a écrit que  ces hommes étaient à peu près,False,204828,1637
644,4400,aussi loin de la terre telle  qu'il était possible où que l'on soit sur la planète.,False,207568,1637
645,2300,Les hommes savaient que  les îles les plus proches qu'ils pouvaient atteindre,False,211968,1637
646,3776,"étaient les îles Marquises, à 2000 km.",False,214268,1637
647,2522,Mais ils avaient entendu des rumeurs effrayantes.,False,218044,1637
648,1678,"On leur avait dit que ces îles,",False,220566,1637
649,4244,"et plusieurs autres à proximité,  étaient peuplées de cannibales.",False,222244,1637
650,2376,Les hommes s'imaginaient donc toucher terre  pour être aussitôt assassinés,False,226488,1637
651,1641,et mangés pour le dîner.,False,228864,1637
652,2752,"Une autre destination possible était Hawaï,",False,230505,1637
653,1872,"mais compte tenu de la saison,  le capitaine avait peur",False,233257,1637
654,3221,d'être frappé par des tempêtes violentes.,False,235129,1637
655,3792,La dernière option était  la plus longue et la plus difficile .,False,238350,1637
656,3624,naviguer 2 500 km vers le sud  dans l'espoir d'atteindre,False,242142,1637
657,1889,une certaine bande de vents  qui pourraient éventuellement,False,245766,1637
658,2264,les pousser vers la côte sud-américaine.,False,247655,1637
659,2721,Mais ils savaient que la durée de ce voyage,False,249919,1637
660,3511,dépasserait leurs provisions de nourriture et d'eau.,False,252640,1637
661,3406,"Être mangés par des cannibales,  être battus par les tempêtes,",False,256151,1637
662,3361,mourir de faim avant d'atteindre la terre.,False,259557,1637
663,3392,"C'étaient les peurs qui dansaient dans l'imagination  de ces pauvres hommes,",False,262918,1637
664,2899,et il s'avéra que la peur qu'ils choisiraient d'écouter,False,266310,1637
665,2654,déterminerait s'ils vivraient ou mouraient.,False,269209,1637
666,4210,Nous pourrions tout aussi bien  appeler ces peurs par un autre nom.,True,271863,1637
667,2278,"Que se passerait-il si au lieu  de les appeler des peurs,",False,276073,1637
668,1611,nous les appelions des histoires .,False,278351,1637
669,2233,"Parce que c'est vraiment ce qu'est la peur, si on y réfléchit.",False,279962,1637
670,3060,C'est une sorte de narration involontaire,False,282195,1637
671,2930,que nous savons tous faire en naissant.,False,285255,1637
672,2763,Et les peurs et les contes  ont les mêmes composantes.,False,288185,1637
673,1865,Ils ont la même architecture.,False,290948,1637
674,2677,"Comme toutes les histoires,  les peurs ont des personnages.",False,292813,1637
675,2423,"Dans nos peurs, les personnages, c'est nous.",False,295490,1637
676,4302,"Les peurs ont aussi des intrigues.  Elles ont des débuts, des milieux et des fins.",False,297913,1637
677,4116,Vous montez en avion. L'avion décolle.  Le moteur tombe en panne.,False,302215,1637
678,2568,Nos peurs ont aussi tendance à contenir  des images qui peuvent être,False,306331,1637
679,3349,tout aussi vives que ce que vous pourriez trouver  dans les pages d'un roman.,False,308899,1637
680,2956,"Imaginez un cannibale, des dents humaines",False,312248,1637
681,2207,"s'enfoncer dans la peau de l'homme,",False,315204,1637
682,3054,de la chair humaine rôtir au feu.,False,317411,1637
683,2736,Les peurs ont aussi du suspense.,False,320465,1637
684,2290,"Si j'ai fait un bon travail de conteur aujourd'hui,",False,323201,1637
685,1508,vous devriez vous demander ce qui est arrivé,False,325491,1637
686,2101,aux hommes du baleinier Essex.,False,326999,1637
687,4245,Nos peurs suscitent en nous une forme  similaire de suspense.,False,329100,1637
688,3553,"À l'instar de toutes les belles histoires, nos peurs concentrent notre attention",False,333345,1637
689,3939,sur une question qui est aussi importante  dans la vie qu'elle l'est dans la littérature .,False,336898,1637
690,2757,Que se passe-t-il ensuite .,False,340837,1637
691,2704,"En d'autres termes, nos peurs  nous font penser à l'avenir.",False,343594,1637
692,2018,"Et l'homme, soit dit en passant,  est la seule créature capable",False,346298,1637
693,1670,"de réfléchir à l'avenir de cette façon,",False,348316,1637
694,2891,"de se projeter en l'avant dans le temps,",False,349986,1637
695,2412,et ce voyage mental dans le temps  est une chose de plus,False,352877,1637
696,3622,que les peurs ont en commun avec les histoires.,False,355289,1637
697,2493,"En tant qu'écrivain, je peux vous dire  qu'une grande partie de l'écriture de fiction",True,358911,1637
